Plot ID,Sp no,Plot ID_Sp no,total.leaf.area
KDM25,S1,KDM25_S1,72.631
KDM25,S2,KDM25_S2,41.025
KDM25,S3,KDM25_S3,59.427
KDM26,S1(1),KDM26_S1(1),66.829
KDM26,S1(2),KDM26_S1(2),29.759
KDM26,S2(1),KDM26_S2(1),99.723
KDM26,S3,KDM26_S3,248.9
KDM26,S4,KDM26_S4,73.818
KDM26,S5,KDM26_S5,118.727
KDM26,S6,KDM26_S6,95.238
KDM26,S7,KDM26_S7,284.385
KDM27,S1,KDM27_S1,157.633
KDM27,S2,KDM27_S2,34.699
KDM27,S3,KDM27_S3,63.802
KDM27,S4,KDM27_S4,44.148
KDM28,S1,KDM28_S1,202.332
KDM28,S2,KDM28_S2,120.272
KDM28,S3,KDM28_S3,52.929
KDM28,S4(1),KDM28_S4(1),121.699
KDM28,S4(2),KDM28_S4(2),26.045
KDM28,S4(3),KDM28_S4(3),72.278
KDM28,S4(4),KDM28_S4(4),50.732
KDM28,S4(5),KDM28_S4(5),74.027
KDM28,S4(6),KDM28_S4(6),40.376
KDM33,S1,KDM33_S1,108.446
KDM34,S1,KDM34_S1,179.967
KDM34,S2,KDM34_S2,102.508
KDM34,S3,KDM34_S3,106.861
KDM34,S4,KDM34_S4,65.744
KDM35,S1,KDM35_S1,33.031
KDM35,S2(1),KDM35_S2(1),148.776
KDM35,S2(2),KDM35_S2(2),147.427
KDM35,S3(1),KDM35_S3(1),74.766
KDM35,S3(2),KDM35_S3(2),135.503
KDM35,S3(3),KDM35_S3(3),83.672
KDM37,S1(1),KDM37_S1(1),60.056
KDM37,S1(2),KDM37_S1(2),321.936
KDM37,S1(3),KDM37_S1(3),309.844
KDM37,S2,KDM37_S2,325.662
KDM37,S3(1),KDM37_S3(1),765.145
KDM37,S3(2),KDM37_S3(2),63.653
KDM37,S4,KDM37_S4,155.8
KDM37,S5(1),KDM37_S5(1),117.606
KDM37,S5(2),KDM37_S5(2),239.503
KDM37,S6(1),KDM37_S6(1),252.603
KDM37,S6(2),KDM37_S6(2),192.918
KDM38,S1,KDM38_S1,69.213
KDM38,S2,KDM38_S2,105.154
KDM41,S10(2),KDM41_S10(2),201.489
KDM41,S12,KDM41_S12,23.192
KDM41,S12(2),KDM41_S12(2),46.995
KDM41,S13,KDM41_S13,139.535
KDM41,S13(2),KDM41_S13(2),116.991
KDM41,S14,KDM41_S14,144.892
KDM41,S14,KDM41_S14,86.614
KDM41,S15,KDM41_S15,199.754
KDM41,S16,KDM41_S16,113.803
KDM41,S16(1),KDM41_S16(1),165.143
KDM41,S17,KDM41_S17,142.143
KDM41,S2,KDM41_S2,43.131
KDM41,S4,KDM41_S4,308.915
KDM41,S5,KDM41_S5,123.113
KDM41,S5 (2),KDM41_S5 (2),59.925
KDM41,S5(2),KDM41_S5(2),65.208
KDM41,S5(3),KDM41_S5(3),124.202
KDM41,S6,KDM41_S6,250.373
KDM41,S9,KDM41_S9,92.776
VG6,S1,VG6_S1,116.099
VG6,S2,VG6_S2,237.568
VG6,S3,VG6_S3,195.711
VG6,S4,VG6_S4,130.124
VG6,S5,VG6_S5,495.915
VG6,S6,VG6_S6,268.025
VG10,S1,VG10_S1,146.931
VG10,S2,VG10_S2,193.41
VG10,S3,VG10_S3,89.31
VG10,S5(1),VG10_S5(1),47.498
VG8,S1,VG8_S1,277.162
VG8,S2,VG8_S2,14.292
VG8,S3,VG8_S3,270.887
VG8,S4(1),VG8_S4(1),89.826
VG8,S4(2),VG8_S4(2),46.955
VG9,S1,VG9_S1,182.108
VG9,S2,VG9_S2,85.907
VG9,S3,VG9_S3,127.599
VG7,S1,VG7_S1,144.63
VG7,S2(1),VG7_S2(1),215.139
VG7,S2(2),VG7_S2(2),53.421
VG7,S3(1),VG7_S3(1),339.266
VG7,S3(2),VG7_S3(2),74.862
VG7,S4,VG7_S4,176.76
DG6,S4(1),DG6_S4(1),203.243
DG6,S4(2),DG6_S4(2),281.982
DG9,S1,DG9_S1,236.485
DG9,S3,DG9_S3,162.204
DG9,S4(1),DG9_S4(1),81.292
DG9,S4(2),DG9_S4(2),214.719
DG9,S5(1),DG9_S5(1),266.017
DG9,S5(4),DG9_S5(4),136.668
DG1,S1,DG1_S1,78.559
DG1,S2,DG1_S2,122.499
DG1,S3,DG1_S3,343.24
DG1,S4,DG1_S4,316.298
DG1,S5,DG1_S5,128.799
DG1,S6 (1) ,DG1_S6 (1) ,107.98
DG1,S6 (2),DG1_S6 (2),39.576
DG3,S1,DG3_S1,217.031
DG3,S2,DG3_S2,97.368
DG3,S3,DG3_S3,74.16
DG3,S4(1),DG3_S4(1),129.548
DG3,S4(2),DG3_S4(2),84.816
DG3,S4(3),DG3_S4(3),119.243
DG3,S4(4),DG3_S4(4),248.444
DG3,S4(5),DG3_S4(5),112.076
DG3,S4(6),DG3_S4(6),80.542
EXTRA1,S1(1),EXTRA1_S1(1),35.17
EXTRA1,S1(2),EXTRA1_S1(2),57.506
EXTRA1,S12,EXTRA1_S12,152.526
EXTRA1,S2(1),EXTRA1_S2(1),90.639
EXTRA1,S2(2),EXTRA1_S2(2),41.286
EXTRA1,S2(3),EXTRA1_S2(3),44.72
EXTRA1,S2(4),EXTRA1_S2(4),202.903
EXTRA1,S2(5),EXTRA1_S2(5),323.692
EXTRA1,S3(1),EXTRA1_S3(1),192.909
EXTRA1,S4,EXTRA1_S4,67.599
EXTRA1,S5,EXTRA1_S5,62.141
EXTRA1,S6,EXTRA1_S6,81.725
EXTRA1,S7,EXTRA1_S7,107.173
EXTRA1,S8,EXTRA1_S8,73.702
EXTRA1,S9,EXTRA1_S9,54.421
EXTRA1,S,EXTRA1_S,199.922
DG2,S1,DG2_S1,257.457
DG2,S2 (1),DG2_S2 (1),22.141
DG2,S2 (2),DG2_S2 (2),136.338
DG2,S2 (3),DG2_S2 (3),146.955
DG2,S2 (4),DG2_S2 (4),134.384
DG2,S2 (5),DG2_S2 (5),122.224
DG2,S2 (6),DG2_S2 (6),61.129
DG2,S3,DG2_S3,150.686
DG2,S4,DG2_S4,84.08
DG2,S5,DG2_S5,130.787
DG2,S6,DG2_S6,42.763
DG2,S7,DG2_S7,46.791
DG2,S8,DG2_S8,46.554
DG4,S1(1),DG4_S1(1),191.425
DG4,S3,DG4_S3,190.265
DG5,S1,DG5_S1,150.065
DG5,S2,DG5_S2,17.181
DG5,S3,DG5_S3,67.329
DG5,S4(1),DG5_S4(1),347.667
DG5,S5,DG5_S5,22.952
VG12,S1,VG12_S1,298.221
VG12,S2,VG12_S2,119.487
VG12,S3(1),VG12_S3(1),85.096
VG12,S3(2),VG12_S3(2),149.913
VG12,S3(3),VG12_S3(3),138.472
VG12,S3(4),VG12_S3(4),125.378
VG16,S5,VG16_S5,180.094
KDM42,S1(1),KDM42_S1(1),73.939
KDM42,S1(2),KDM42_S1(2),48.399
KDM42,S2(1),KDM42_S2(1),106.09
KDM42,S2(2),KDM42_S2(2),31.519
KDM42,S2(3),KDM42_S2(3),52.263
KDM42,S2(4),KDM42_S2(4),20.748
KDM42,S3,KDM42_S3,72.977
KDM42,S4,KDM42_S4,26.266
KDM43,S3,KDM43_S3,20.607
KDM43,S1,KDM43_S1,59.377
KDM43,S1(2),KDM43_S1(2),72.821
KDM43,S2(1),KDM43_S2(1),140.604
KDM43,S3,KDM43_S3,29.369
VG11,S1,VG11_S1,642.009
VG11,S2,VG11_S2,238.487
VG14,S1,VG14_S1,90.128
VG13,S1,VG13_S1,116.434
VG13,S2,VG13_S2,384.181
VG13,S4,VG13_S4,90.023
VG27,S_0001,VG27_S_0001,62.86
VG27,S1(1),VG27_S1(1),42.921
VG27,S1(2),VG27_S1(2),54.917
VG27,S2,VG27_S2,363.994
VG27,S3(1),VG27_S3(1),148.239
VG27,S4,VG27_S4,84.798
VG27,S5,VG27_S5,22.158
VG27,S6,VG27_S6,96.378
VG27,S7(1),VG27_S7(1),146.256
VG27,S7(2),VG27_S7(2),111.838
VG27,S7(4),VG27_S7(4),121.737
VG27,S7(5),VG27_S7(5),115.198
VG27,S7(6),VG27_S7(6),127.848
VG27,S7(7),VG27_S7(7),55.196
VG27,S7(8),VG27_S7(8),55.101
VG23,S1(1),VG23_S1(1),198.075
VG23,S1(2),VG23_S1(2),195.212
VG23,S1(3),VG23_S1(3),133.739
VG23,S1(5),VG23_S1(5),151.068
VG23,S1(6),VG23_S1(6),220.404
VG23,S2,VG23_S2,158.075
VG23,S3(1),VG23_S3(1),238.799
VG23,S3(2),VG23_S3(2),247.346
VG23,S3(3),VG23_S3(3),214.782
VG23,S4,VG23_S4,27.45
VG24,S1(1),VG24_S1(1),95.649
VG24,S1(2),VG24_S1(2),61.141
VG24,S3,VG24_S3,126.209
VG25,S1(1),VG25_S1(1),50.42
VG25,S1(2),VG25_S1(2),60.604
VG25,S2,VG25_S2,51.364
VG28,S1,VG28_S1,15.493
VG28,S2,VG28_S2,63.71
VG28,S3,VG28_S3,153.138
VG28,S4(1),VG28_S4(1),74.401
VG28,S4(2),VG28_S4(2),89.546
VG29,S1,VG29_S1,52.42
VG29,S10,VG29_S10,97.332
VG29,S11,VG29_S11,106.946
VG29,S2(1),VG29_S2(1),92.237
VG29,S2(2),VG29_S2(2),83.786
VG29,S3(1),VG29_S3(1),196.886
VG29,S3(2),VG29_S3(2),77.255
VG29,S3(5),VG29_S3(5),64.77
VG29,S4(1),VG29_S4(1),130.813
VG29,S4(2),VG29_S4(2),76.286
VG29,S4(3),VG29_S4(3),164.282
VG29,S4(4),VG29_S4(4),95.487
VG29,S4(5),VG29_S4(5),67.797
VG29,S5,VG29_S5,148.053
VG29,S6,VG29_S6,249.005
VG29,S7,VG29_S7,84.82
VG29,S8(1),VG29_S8(1),64.487
VG29,S8(2),VG29_S8(2),20.129
VG29,S8(3),VG29_S8(3),66.296
VG29,S8(4),VG29_S8(4),91.118
VG29,S8(5),VG29_S8(5),50.445
VG29,S8(6),VG29_S8(6),155.981
VG30,S1(1),VG30_S1(1),88.022
VG30,S1(2),VG30_S1(2),60.092
VG30,S1(3),VG30_S1(3),62.521
VG30,S2,VG30_S2,217.301
VG30,S3,VG30_S3,352.761
VG30,S4(1),VG30_S4(1),156.925
VG30,S6(1),VG30_S6(1),75.19
VG30,S6(2),VG30_S6(2),84.308
VG20,S,VG20_S,35.617
VG20,S1,VG20_S1,35.617
VG20,S1(1),VG20_S1(1),109.325
VG26,S2(1),VG26_S2(1),175.062
VG26,S2(2),VG26_S2(2),311.063
VG26,S3,VG26_S3,83.627
VG26,S4(1),VG26_S4(1),283.22
VG26,S4(2),VG26_S4(2),172.974
VG26,S4(3),VG26_S4(3),112.942
VG26,S5,VG26_S5,352.55
VG26,S6,VG26_S6,278.625
VG26,S7,VG26_S7,381.178
VG31,S1(1),VG31_S1(1),52.33
VG31,S1(2),VG31_S1(2),46.441
VG31,S2(1),VG31_S2(1),193.457
VG31,S2(2),VG31_S2(2),354.587
VG31,S3,VG31_S3,116.997
VG31,S4(1),VG31_S4(1),119.369
VG31,S4(2),VG31_S4(2),94.973
VG31,S5,VG31_S5,240.165
VG39,S1,VG39_S1,121.223
VG39,S2(1),VG39_S2(1),206.081
VG39,S2(2),VG39_S2(2),83.771
VG39,S3(1),VG39_S3(1),311.656
VG39,S3(12),VG39_S3(12),86.882
VG39,S3(2),VG39_S3(2),61.265
VG39,S3(3),VG39_S3(3),168.839
VG39,S3(4),VG39_S3(4),60.798
VG39,S3(5),VG39_S3(5),54.235
VG39,S3(6),VG39_S3(6),68.45
VG39,S4,VG39_S4,229.474
VG34,S1(1),VG34_S1(1),238.873
VG34,S1(2),VG34_S1(2),44.435
VG34,S1(4),VG34_S1(4),174.438
VG34,S1(5),VG34_S1(5),106.054
VG38,S1,VG38_S1,279.282
VG38,S2,VG38_S2,246.147
VG38,S3,VG38_S3,61.601
VG35,S1,VG35_S1,143.738
VG35,S2(1),VG35_S2(1),227.133
VG35,S2(2),VG35_S2(2),92.574
VG35,S3(2),VG35_S3(2),171.137
VG41,S5,VG41_S5,110.719
VG41,S6,VG41_S6,103.165
VG41,S7 (2),VG41_S7 (2),84.716
VG41,S1,VG41_S1,127.06
VG41,S2,VG41_S2,107.564
VG41,S3,VG41_S3,49.481
